"Station Name","FORT ST JOHN A"
"Province","BRITISH COLUMBIA"
"Latitude","56.24"
"Longitude","-120.74"
"Elevation","694.90"
"Climate Identifier","1183000"
"WMO Identifier","71943"
"TC Identifier","YXJ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2010-01-01","2010","01","01","","-20.9","","-28.8","","-24.9","","42.9","","0.0","","0.0","","3.0","","3.0","","48","","","","<31",""
"2010-01-02","2010","01","02","","-19.0","","-21.9","","-20.5","","38.5","","0.0","","0.0","","1.4","","1.4","","51","","","","<31",""
"2010-01-03","2010","01","03","","-18.1","","-25.1","","-21.6","","39.6","","0.0","","0.0","","0.0","T","0.0","T","52","","","","<31",""
"2010-01-04","2010","01","04","","-22.6","","-28.9","","-25.8","","43.8","","0.0","","0.0","","0.0","","0.0","","52","","","","<31",""
"2010-01-05","2010","01","05","","-23.7","","-32.3","","-28.0","","46.0","","0.0","","0.0","","0.0","T","0.0","T","52","","","","<31",""
"2010-01-06","2010","01","06","","-20.0","","-29.3","","-24.7","","42.7","","0.0","","0.0","","0.0","","0.0","","52","","","","<31",""
"2010-01-07","2010","01","07","","-6.7","","-22.0","","-14.4","","32.4","","0.0","","0.0","","0.0","","0.0","","52","","","","<31",""
"2010-01-08","2010","01","08","","2.0","","-13.7","","-5.9","","23.9","","0.0","","0.0","","0.0","","0.0","","52","","","","<31",""
"2010-01-09","2010","01","09","","1.4","","-14.1","","-6.4","","24.4","","0.0","","0.0","T","0.0","T","0.0","T","51","","35","E","37","E"
"2010-01-10","2010","01","10","","-8.2","","-14.8","","-11.5","","29.5","","0.0","","0.0","T","1.0","","1.0","","51","","","","<31",""
