"Station Name","PORT HARDY A"
"Province","BRITISH COLUMBIA"
"Latitude","50.68"
"Longitude","-127.37"
"Elevation","21.60"
"Climate Identifier","1026270"
"WMO Identifier","71109"
"TC Identifier","YZT"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2010-01-01","2010","01","01","","7.0","","4.6","","5.8","","12.2","","0.0","","12.0","","0.0","","12.0","","0","","10","E","46","E"
"2010-01-02","2010","01","02","","6.9","","3.7","","5.3","","12.7","","0.0","","3.6","","0.0","","3.6","","0","","","","<31",""
"2010-01-03","2010","01","03","","7.1","","4.0","","5.6","","12.4","","0.0","","0.6","","0.0","","0.6","","0","","","","<31",""
"2010-01-04","2010","01","04","","8.3","","1.6","","5.0","","13.0","","0.0","","2.8","","0.0","","2.8","","0","","9","E","33","E"
"2010-01-05","2010","01","05","","8.4","","-0.5","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2010-01-06","2010","01","06","","7.9","","6.6","","7.3","","10.7","","0.0","","0.0","","0.0","","0.0","","0","","14","E","39","E"
"2010-01-07","2010","01","07","","7.3","","4.9","","6.1","","11.9","","0.0","","7.0","","0.0","","7.0","","0","","8","E","65","E"
"2010-01-08","2010","01","08","","8.3","","5.3","","6.8","","11.2","","0.0","","3.4","","0.0","","3.4","","0","","9","E","52","E"
"2010-01-09","2010","01","09","","9.6","","7.9","","8.8","","9.2","","0.0","","10.2","","0.0","","10.2","","0","","10","E","39","E"
"2010-01-10","2010","01","10","","10.2","","7.6","","8.9","","9.1","","0.0","","24.6","","0.0","","24.6","","0","","10","E","61","E"
