"Station Name","ATLIN"
"Province","BRITISH COLUMBIA"
"Latitude","59.57"
"Longitude","-133.70"
"Elevation","673.60"
"Climate Identifier","1200560"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2010-01-01","2010","01","01","†","-22.5","","-28.0","","-25.3","","43.3","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"2010-01-02","2010","01","02","†","-20.0","","-26.5","","-23.3","","41.3","","0.0","","0.0","","1.2","","1.2","","12","","","","",""
"2010-01-03","2010","01","03","†","-18.5","","-23.5","","-21.0","","39.0","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"2010-01-04","2010","01","04","†","-18.5","","-22.0","","-20.3","","38.3","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"2010-01-05","2010","01","05","†","-16.5","","-23.5","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"2010-01-06","2010","01","06","†","-9.5","","-20.5","","-15.0","","33.0","","0.0","","0.0","","1.4","","1.4","","13","","","","",""
"2010-01-07","2010","01","07","†","-6.5","","-13.5","","-10.0","","28.0","","0.0","","0.0","","5.8","","5.8","","14","","","","",""
"2010-01-08","2010","01","08","†","-0.5","","-8.0","","-4.3","","22.3","","0.0","","0.0","","0.4","","0.4","","20","","","","",""
"2010-01-09","2010","01","09","†","-5.0","","-8.5","","-6.8","","24.8","","0.0","","0.0","","2.6","","2.6","","20","","","","",""
"2010-01-10","2010","01","10","†","-8.0","","-12.5","","-10.3","","28.3","","0.0","","0.0","","12.2","","12.2","","22","","","","",""
"2010-01-11","2010","01","11","†","-18.5","","-21.0","","-19.8","","37.8","","0.0","","0.0","","15.0","","15.0","","31","","","","",""
"2010-01-12","2010","01","12","†","-19.5","","-22.0","","-20.8","","38.8","","0.0","","0.0","","2.0","","2.0","","41","","","","",""
"2010-01-13","2010","01","13","†","-15.0","","-21.5","","-18.3","","36.3","","0.0","","0.0","","2.2","","2.2","","42","","","","",""
"2010-01-14","2010","01","14","†","-13.0","","-18.5","","-15.8","","33.8","","0.0","","0.0","","0.6","","0.6","","42","","","","",""
"2010-01-15","2010","01","15","†","-0.5","","-18.0","","-9.3","","27.3","","0.0","","0.0","","0.4","","0.4","","41","","","","",""
"2010-01-16","2010","01","16","†","1.0","","-10.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"2010-01-17","2010","01","17","†","-0.5","","-2.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"2010-01-18","2010","01","18","†","-5.0","","-8.5","","-6.8","","24.8","","0.0","","0.0","","0.6","","0.6","","35","","","","",""
"2010-01-19","2010","01","19","†","-8.0","","-15.0","","-11.5","","29.5","","0.0","","0.0","","2.0","","2.0","","35","","","","",""
"2010-01-20","2010","01","20","†","-7.0","","-9.5","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
