"Station Name","CRANBROOK A"
"Province","BRITISH COLUMBIA"
"Latitude","49.61"
"Longitude","-115.78"
"Elevation","940.00"
"Climate Identifier","1152102"
"WMO Identifier","71880"
"TC Identifier","YXC"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2010-01-01","2010","01","01","","-0.3","","-5.7","","-3.0","","21.0","","0.0","","0.0","","3.2","","2.4","","17","","","","<31",""
"2010-01-02","2010","01","02","","5.9","","-5.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","19","","","","<31",""
"2010-01-03","2010","01","03","","2.8","","-4.4","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"2010-01-04","2010","01","04","","0.2","","-2.9","","-1.4","","19.4","","0.0","","0.0","","10.4","","8.4","","16","","","","<31",""
"2010-01-05","2010","01","05","","-0.7","","-6.0","","-3.4","","21.4","","0.0","","0.0","","5.6","","4.4","","28","","","","<31",""
"2010-01-06","2010","01","06","","-5.7","","-20.9","","-13.3","","31.3","","0.0","","0.0","","0.0","T","0.0","T","29","","","","<31",""
"2010-01-07","2010","01","07","","-14.8","","-23.1","","-19.0","","37.0","","0.0","","0.0","","0.2","","0.2","","29","","","","<31",""
"2010-01-08","2010","01","08","","-12.2","","-23.0","","-17.6","","35.6","","0.0","","0.0","","0.0","","0.0","","29","","","","<31",""
"2010-01-09","2010","01","09","","-7.8","","-17.1","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"2010-01-10","2010","01","10","","-1.7","","-11.0","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","27","","","","<31",""
"2010-01-11","2010","01","11","","2.6","","-3.1","","-0.3","","18.3","","0.0","","0.2","","0.0","T","0.2","","24","","","","<31",""
"2010-01-12","2010","01","12","","6.2","","-1.5","","2.4","","15.6","","0.0","","0.6","","0.0","","0.6","","22","","","","<31",""
"2010-01-13","2010","01","13","","5.3","","-3.3","","1.0","","17.0","","0.0","","1.0","","0.0","T","1.0","","18","","","","<31",""
"2010-01-14","2010","01","14","","6.0","","0.9","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","17","","19","E","33","E"
"2010-01-15","2010","01","15","","4.6","","2.2","","3.4","","14.6","","0.0","","1.4","","0.0","T","1.4","","14","","15","E","39","E"
"2010-01-16","2010","01","16","","5.8","","-3.1","","1.4","","16.6","","0.0","","0.0","T","0.0","","0.0","T","10","","","","<31",""
"2010-01-17","2010","01","17","","-0.3","","-4.4","","-2.4","","20.4","","0.0","","0.0","","0.4","","0.4","","9","","","","<31",""
"2010-01-18","2010","01","18","","3.9","","-3.6","","0.2","","17.8","","0.0","","0.4","","3.8","","3.8","","11","","","","<31",""
"2010-01-19","2010","01","19","","-0.5","","-6.9","","-3.7","","21.7","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"2010-01-20","2010","01","20","","0.7","","-2.9","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"2010-01-21","2010","01","21","","-1.8","","-4.7","","-3.3","","21.3","","0.0","","0.0","","0.2","","0.0","T","11","","","","<31",""
"2010-01-22","2010","01","22","","0.2","","-6.6","","-3.2","","21.2","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"2010-01-23","2010","01","23","","-1.4","","-10.0","","-5.7","","23.7","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"2010-01-24","2010","01","24","","-2.2","","-7.3","","-4.8","","22.8","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"2010-01-25","2010","01","25","","-0.8","","-5.1","","-3.0","","21.0","","0.0","","0.0","","2.3","","1.9","","11","","","","<31",""
"2010-01-26","2010","01","26","","1.0","","-6.4","","-2.7","","20.7","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"2010-01-27","2010","01","27","","-2.7","","-7.7","","-5.2","","23.2","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
